Hybridization REF	TCGA-06-0678-11A-01T-0345-07
Reporter REF	Quantile_Normalized
A_25_P00010003	10.1860468749394
A_25_P00010004	8.20552178386746
A_25_P00010005	9.43605692699857
A_25_P00010006	7.34666390774821
A_25_P00010007	6.09799881448782
A_25_P00010008	6.676119666234
A_25_P00010009	6.57913002603698
A_25_P00010010	5.71727140659717
A_25_P00010011	5.74036514982313
A_25_P00010012	7.57131725253679
A_25_P00010013	6.54788885417222
A_25_P00010014	13.3568966987832
A_25_P00010015	10.4664806721807
A_25_P00010016	5.71427434957621
A_25_P00010017	7.23995124808417
A_25_P00010018	6.43463344430018
A_25_P00010019	7.5021816111731
A_25_P00010020	6.50887441431174
A_25_P00010021	5.7844901406576
A_25_P00010023	5.89527125590448
A_25_P00010024	5.70985514569127
A_25_P00010025	5.69161380557625
A_25_P00010026	5.67957921676401
A_25_P00010027	8.8662397896104
A_25_P00010028	7.10369133962381
A_25_P00010029	5.8167550155373
A_25_P00010030	5.79926285066844
A_25_P00010031	5.76320087405253
A_25_P00010032	5.80132851971796
A_25_P00010035	5.946513899276
A_25_P00010036	5.99273164077392
A_25_P00010037	5.70650868993794
A_25_P00010038	5.64745092390744
A_25_P00010039	5.81365035415292
A_25_P00010040	5.74374831389551
A_25_P00010041	5.74215715203416
A_25_P00010042	5.74698347109241
A_25_P00010043	5.72411318242631
A_25_P00010044	5.70765820937002
A_25_P00010045	9.2343717287261
A_25_P00010046	7.84462736074458
A_25_P00010047	8.79250426483754
A_25_P00010048	7.00629971601724
A_25_P00010049	5.82195891804096
A_25_P00010050	5.8197996779942
A_25_P00010051	5.84245571203824
A_25_P00010052	5.77868247959518
A_25_P00010053	14.8547925658855
A_25_P00010054	11.3007091032384
A_25_P00010055	5.78178170112909
A_25_P00010056	5.9332625468997
A_25_P00010057	5.84258405094135
A_25_P00010058	5.88082838047329
A_25_P00010059	6.13773566923709
A_25_P00010060	5.98592101252366
A_25_P00010061	6.53925492006639
A_25_P00010062	6.45797721648255
A_25_P00010063	5.9852860906401
A_25_P00010068	7.00117506600193
A_25_P00010069	7.75581481032013
A_25_P00010070	14.1828771126906
A_25_P00010071	13.0974063783269
A_25_P00010072	13.7784864888954
A_25_P00010073	11.8624847475922
A_25_P00010074	5.8118879567325
A_25_P00010075	5.82879099978364
A_25_P00010076	9.36121049174798
A_25_P00010077	8.99394800286212
A_25_P00010078	7.61617949052985
A_25_P00010079	6.42227359553515
A_25_P00010080	5.72679010584193
A_25_P00010081	5.7175102742452
A_25_P00010082	14.4248964936416
A_25_P00010083	12.3892446277117
A_25_P00010084	8.19926664905482
A_25_P00010085	9.29749889635338
A_25_P00010086	12.8866102937906
A_25_P00010088	13.5465067593138
A_25_P00010089	10.6453456433198
A_25_P00010090	7.05698520024674
A_25_P00010091	7.84431066552171
A_25_P00010092	7.73503843304039
A_25_P00010093	5.78531621964127
A_25_P00010094	5.91888311059714
A_25_P00010095	5.71805275722796
A_25_P00010096	5.7169235979409
A_25_P00010097	6.92372163722763
A_25_P00010098	9.02801429463906
A_25_P00010099	6.0819470791928
A_25_P00010100	6.02252337915861
A_25_P00010101	7.94981551278959
A_25_P00010102	7.06431153036957
A_25_P00010103	6.83430606899887
A_25_P00010104	6.56463218752276
A_25_P00010109	12.5228495887405
A_25_P00010110	10.33565292963
A_25_P00010113	10.0273966187132
A_25_P00010114	9.00669498769742
A_25_P00010115	7.40554486103896
A_25_P00010116	7.4568766402942
A_25_P00010117	6.06597180099385
A_25_P00010118	6.01105234603295
A_25_P00010119	5.99286942815456
A_25_P00010120	5.8739095541168
A_25_P00010121	5.74036300316116
A_25_P00010122	5.70282160634085
A_25_P00010123	5.79558793763838
A_25_P00010124	5.7159751115227
A_25_P00010125	10.4915314559653
A_25_P00010126	8.55836141777193
A_25_P00010127	5.73754016916192
A_25_P00010128	5.81240694119774
A_25_P00010129	7.08435664863905
A_25_P00010130	8.1720013997551
A_25_P00010131	7.0975499509402
A_25_P00010132	7.5692258956875
A_25_P00010133	8.79487192865916
A_25_P00010134	6.87689147272049
A_25_P00010135	5.85288348309138
